FY,Date,"Fixed Volume
Energia kwh","Floating Volume
Energia kwh","TRADES
Electric Ire kwh","DAY AHEAD
Electric Ire kwh","IMBALANCE
Electric Ire kwh",Total Gas Used [kWh]
19,Oct-18," 784,951 "," 431,192 ", -   , -   , -   ," 1,216,143 "
19,Nov-18," 3,398,160 ","-1,531,994 ", -   , -   , -   ," 1,866,166 "
19,Dec-18," 3,372,428 ","-736,426 ", -   , -   , -   ," 2,636,002 "
19,Jan-19," 4,964,154 ","-2,423,318 ", -   , -   , -   ," 2,540,836 "
19,Feb-19," 4,546,136 ","-1,610,016 ", -   , -   , -   ," 2,936,120 "
19,Mar-19," 4,633,477 ","-1,104,963 ", -   , -   , -   ," 3,528,514 "
19,Apr-19," 2,725,560 "," 634,771 ", -   , -   , -   ," 3,360,331 "
19,May-19," 2,807,329 "," 656,445 ", -   , -   , -   ," 3,463,774 "
19,Jun-19," 2,769,510 "," 662,937 ", -   , -   , -   ," 3,432,447 "
19,Jul-19," 2,498,445 "," 1,096,425 ", -   , -   , -   ," 3,594,870 "
19,Aug-19," 3,143,493 ","-90,849 ", -   , -   , -   ," 3,052,644 "
19,Sep-19," 2,637,630 "," 840,365 ", -   , -   , -   ," 3,477,995 "
20,Oct-19," 2,950,859 "," 85,052 ", -   , -   , -   ," 3,035,911 "
20,Nov-19," 3,778,860 ","-1,269,757 ", -   , -   , -   ," 2,509,103 "
20,Dec-19," 3,385,138 ","-750,708 ", -   , -   , -   ," 2,634,430 "
20,Jan-20," 3,468,745 ","-149,747 ", -   , -   , -   ," 3,318,998 "
20,Feb-20," 2,892,228 "," 391,241 ", -   , -   , -   ," 3,283,469 "
20,Mar-20," 2,769,168 "," 811,926 ", -   , -   , -   ," 3,581,094 "
20,Apr-20," 2,096,040 "," 1,247,608 ", -   , -   , -   ," 3,343,648 "
20,May-20," 2,165,908 "," 1,323,078 ", -   , -   , -   ," 3,488,986 "
20,Jun-20," 2,096,040 "," 1,390,102 ", -   , -   , -   ," 3,486,142 "
20,Jul-20," 2,414,838 "," 1,024,122 ", -   , -   , -   ," 3,438,960 "
20,Aug-20," 2,233,116 "," 962,151 ", -   , -   , -   ," 3,195,267 "
20,Sep-20," 2,454,750 "," 689,967 ", -   , -   , -   ," 3,144,717 "
21,Oct-20," 3,320,658 ","-854,400 ", -   , -   , -   ," 2,466,258 "
21,Nov-20," 3,037,680 "," 198,923 ", -   , -   , -   ," 3,236,603 "
21,Dec-20," 3,138,936 ","-816,878 ", -   , -   , -   ," 2,322,058 "
21,Jan-21," 3,502,349 ","-1,148,886 ", -   , -   , -   ," 2,353,463 "
21,Feb-21," 3,081,344 ","-669,162 ", -   , -   , -   ," 2,412,182 "
